{6, 31, 32}
{6, 25, 32}
{6, 22, 32}
{6, 19, 49}
{6, 17, 42}
{6, 17, 30}
{6, 13, 45}
{6, 12, 22}
{6, 10, 42}
{6, 10, 32}
{6, 10, 22}
{6, 10, 17}
{6, 10, 13}
{6, 8, 10}
{5, 49, 50}
{5, 47, 48}
{5, 41, 43}
{5, 35, 40}
{5, 31, 50}
{5, 26, 33}
{5, 23, 43}
{5, 21, 23}
{5, 16, 41}
{5, 16, 23}
{5, 10, 16}
{5, 7, 26}
{4, 47, 48}
{4, 46, 48}
{4, 39, 40}
{4, 35, 43}
{4, 26, 44}
{4, 26, 33}
{4, 23, 26}
{4, 18, 36}
{4, 15, 35}
{4, 12, 20}
{4, 9, 31}
{4, 7, 26}
{4, 6, 49}
{4, 6, 35}
{4, 6, 10}
{3, 43, 45}
{3, 30, 37}
{3, 28, 42}
{3, 23, 25}
{3, 21, 37}
{3, 20, 28}
{3, 18, 40}
{3, 18, 24}
{3, 17, 43}
{3, 14, 28}
{3, 11, 37}
{3, 8, 43}
{3, 8, 37}
{3, 8, 22}
{3, 8, 18}
{3, 8, 15}
{3, 7, 45}
{3, 6, 8}
{3, 5, 43}
{3, 4, 18}
{2, 46, 50}
{2, 44, 50}
{2, 44, 46}
{2, 43, 46}
{2, 34, 50}
{2, 34, 46}
{2, 33, 44}
{2, 31, 50}
{2, 30, 34}
{2, 29, 50}
{2, 29, 44}
{2, 29, 43}
{2, 22, 46}
{2, 22, 38}
{2, 22, 34}
{2, 22, 29}
{2, 22, 24}
{2, 16, 46}
{2, 16, 44}
{2, 16, 22}
{2, 12, 22}
{2, 11, 46}
{2, 11, 43}
{2, 11, 37}
{2, 11, 22}
{2, 11, 20}
{2, 11, 16}
{2, 6, 46}
{2, 6, 13}
{2, 6, 11}
{2, 5, 23}
{2, 5, 6}
{1, 39, 42}
{1, 32, 44}
{1, 32, 41}
{1, 30, 50}
{1, 30, 42}
{1, 30, 41}
{1, 30, 39}
{1, 30, 34}
{1, 18, 32}
{1, 17, 30}
{1, 11, 46}
{1, 11, 42}
{1, 11, 39}
{1, 9, 30}
{1, 9, 24}
{1, 9, 13}
{1, 8, 9}
{1, 5, 39}
{1, 5, 30}
{1, 5, 16}
{1, 3, 8}
{47, 50}
{46, 49}
{45, 47}
{45, 46}
{42, 43}
{41, 47}
{41, 46}
{40, 50}
{40, 46}
{40, 42}
{40, 41}
{39, 48}
{39, 47}
{39, 46}
{39, 44}
{39, 43}
{38, 49}
{38, 47}
{38, 46}
{38, 44}
{37, 50}
{37, 41}
{37, 39}
{36, 50}
{36, 46}
{36, 43}
{36, 42}
{36, 39}
{35, 49}
{35, 44}
{34, 42}
{34, 38}
{33, 46}
{33, 39}
{33, 38}
{32, 46}
{31, 47}
{31, 46}
{31, 45}
{31, 39}
{31, 36}
{31, 35}
{31, 34}
{30, 49}
{30, 46}
{30, 45}
{30, 44}
{30, 31}
{29, 49}
{29, 41}
{29, 33}
{29, 31}
{29, 30}
{28, 39}
{28, 30}
{27, 48}
{27, 42}
{27, 35}
{27, 31}
{27, 29}
{27, 28}
{26, 31}
{25, 50}
{25, 46}
{25, 42}
{25, 39}
{25, 36}
{25, 29}
{25, 27}
{24, 46}
{24, 43}
{24, 42}
{24, 35}
{24, 33}
{24, 30}
{24, 26}
{24, 25}
{23, 49}
{23, 46}
{23, 40}
{23, 39}
{23, 31}
{23, 29}
{23, 27}
{23, 24}
{22, 48}
{22, 40}
{22, 37}
{22, 33}
{22, 31}
{22, 25}
{21, 50}
{21, 49}
{21, 46}
{21, 44}
{21, 43}
{21, 42}
{21, 40}
{21, 39}
{21, 36}
{21, 34}
{21, 31}
{21, 27}
{21, 24}
{20, 50}
{20, 47}
{20, 45}
{20, 41}
{20, 39}
{20, 36}
{20, 34}
{20, 30}
{20, 23}
{19, 48}
{19, 47}
{19, 46}
{19, 45}
{19, 44}
{19, 43}
{19, 42}
{19, 41}
{19, 40}
{19, 38}
{19, 37}
{19, 36}
{19, 35}
{19, 34}
{19, 33}
{19, 31}
{19, 30}
{19, 26}
{19, 25}
{19, 23}
{19, 22}
{18, 50}
{18, 46}
{18, 23}
{18, 21}
{18, 19}
{17, 50}
{17, 46}
{17, 39}
{17, 31}
{17, 27}
{17, 18}
{16, 49}
{16, 45}
{16, 39}
{16, 37}
{16, 36}
{16, 33}
{16, 31}
{16, 25}
{16, 24}
{16, 21}
{16, 19}
{15, 50}
{15, 49}
{15, 46}
{15, 45}
{15, 42}
{15, 33}
{15, 32}
{15, 31}
{15, 29}
{15, 20}
{15, 19}
{15, 16}
{14, 50}
{14, 47}
{14, 45}
{14, 41}
{14, 39}
{14, 36}
{14, 34}
{14, 24}
{12, 50}
{12, 49}
{12, 48}
{12, 47}
{12, 46}
{12, 45}
{12, 44}
